entity_key,class_name,display_name,package,module,extends,abstract,entity,schema,table,photo_adapter_required,existing_actions,custom_action_candidates,eligibility,eligibility_reason,source_path
ais.database.model.file.FotoGuru,FotoGuru,Foto Guru,ais.database.model.file,file,ais.database.model.file.FileFotoLain,False,True,public,foto_guru,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoGuru.java
ais.database.model.file.FotoImagePerHalamanItem,FotoImagePerHalamanItem,Foto Image Per Halaman Item,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_image_per_halaman_item,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoImagePerHalamanItem.java
ais.database.model.file.FotoInformasiPerpustakaan,FotoInformasiPerpustakaan,Foto Informasi Perpustakaan,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_informasi_perpustakaan,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoInformasiPerpustakaan.java
ais.database.model.file.FotoInformasiRab,FotoInformasiRab,Foto Informasi Rab,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_informasi_rab,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoInformasiRab.java
ais.database.model.file.FotoItem,FotoItem,Foto Item,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_item,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoItem.java
ais.database.model.file.FotoLampiranPegawai,FotoLampiranPegawai,Foto Lampiran Pegawai,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_lampiran_pegawai,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoLampiranPegawai.java
ais.database.model.file.FotoMahasiswa,FotoMahasiswa,Foto Mahasiswa,ais.database.model.file,file,ais.database.model.file.FileFotoLain,False,True,public,foto_mahasiswa,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoMahasiswa.java
ais.database.model.file.FotoMahasiswaLulus,FotoMahasiswaLulus,Foto Mahasiswa Lulus,ais.database.model.file,file,ais.database.model.file.FileFotoLain,False,True,public,foto_mahasiswa_lulus,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoMahasiswaLulus.java
ais.database.model.file.FotoPegawai,FotoPegawai,Foto Pegawai,ais.database.model.file,file,ais.database.model.file.FileFotoLain,False,True,public,foto_pegawai,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoPegawai.java
ais.database.model.file.FotoSiswa,FotoSiswa,Foto Siswa,ais.database.model.file,file,ais.database.model.file.FileFotoLain,False,True,public,foto_siswa,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoSiswa.java
ais.database.model.file.GaleriFotoImage,GaleriFotoImage,Galeri Foto Image,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,galeri_foto_image,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\GaleriFotoImage.java
